BTC | ETC/BTC > ETC/ETH > ETH/BTC | gateio > kraken > livecoin | profit: 0.411854179568536 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | gateio > kraken > exmo | profit: 0.7151593538849141 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | gateio > kraken > cointiger | profit: 0.6675820716392167 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | gateio > kraken > coss | profit: 0.7448951552884893 %
BTC | BCH/BTC > ETC/BCH > ETC/BTC | gateio > hitbtc > kraken | profit: 0.7835935682479231 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | livecoin > bittrex > kraken | profit: 0.41188417973602043 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | livecoin > poloniex > kraken | profit: 0.17092069506891505 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | livecoin > hitbtc > kraken | profit: 0.4991009806436182 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | livecoin > binance > kraken | profit: 0.911471898305507 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | livecoin > kucoin > kraken | profit: 0.8101872725227537 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | livecoin > kraken > bittrex | profit: 0.5383174634307153 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | livecoin > kraken > kraken | profit: 0.36479840558480703 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | livecoin > kraken > poloniex | profit: 0.4537217355365897 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | livecoin > kraken > hitbtc | profit: 0.4715064015269519 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | livecoin > kraken > binance | profit: 0.4300088475494306 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | livecoin > kraken > kucoin | profit: 0.45964995753335813 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | livecoin > kraken > gateio | profit: 0.3470137395944448 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | livecoin > kraken > livecoin | profit: 0.09210019373263378 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | livecoin > kraken > exmo | profit: 0.39443951556870616 %
